Війна	Росія продовжує атаки на Україну Російські війська обстріляли кілька населених пунктів на сході України. Постраждали житлові будинки та інфраструктура.
Війна	ЗСУ відбили атаки в Бахмуті ЗСУ зупинили просування російських сил у районі Бахмута. Ворог зазнав значних втрат.
Війна	Нове озброєння для ЗСУ США передали Україні сучасні системи ППО. Це підсилить обороноздатність країни.
Війна	Мирні переговори знову провалились Спільні перемовини не призвели до конкретних результатів. Сторони звинувачують одна одну.
Війна	Евакуація населення з Херсону Влада організувала евакуацію через загрозу обстрілів. Людей вивозять у безпечні регіони.
Війна	Окупанти посилюють обстріли на півдні Російські війська активізували артилерійські атаки на Миколаїв. Місцева влада закликає мешканців до обережності.
Війна	Втрати серед мирного населення За минулу добу внаслідок обстрілів загинуло п'ятеро цивільних. Більшість загиблих - жінки та діти.
Війна	Вдалі контратаки ЗСУ на Харківщині Українські війська відкинули ворога від декількох сіл на Харківщині. Звільнено важливі стратегічні об’єкти.
Війна	Бойові дії у Сєвєродонецьку тривають Місто залишається під постійними обстрілами. Обидві сторони заявляють про важливість утримання позицій.
Війна	Гуманітарна допомога від ЄС Європейський Союз надіслав в Україну черговий гуманітарний вантаж. Допомога включає ліки, їжу та одяг.
Війна	ЗСУ отримали нові дрони Військові повідомляють про постачання сучасних безпілотників. Це покращить розвідувальні можливості на фронті.
Війна	Ворог обстріляв мирний квартал у Києві Внаслідок ракетного удару постраждали житлові будинки. Рятувальні служби працюють на місці події.
Війна	ЗСУ знищили російський танк Українські військові знищили ворожий танк на Донбасі. Відео операції поширилося у соцмережах.
Війна	Нові санкції проти Росії Західні країни ввели черговий пакет економічних санкцій. Обмеження стосуються ключових галузей економіки РФ.
Війна	Військовий шпиталь у Львові переповнений До Львова продовжують прибувати поранені з фронту. Лікарі працюють цілодобово.
Війна	Відновлення інфраструктури на звільнених територіях Уряд розпочав відновлювальні роботи в деокупованих районах. Пріоритет – електропостачання та водопостачання.
Війна	Росія стягує сили до кордону Росія концентрує додаткові війська поблизу українського кордону. Українські військові перебувають у підвищеній готовності.
Війна	Успіхи партизанського руху На тимчасово окупованих територіях активізувались партизанські загони. Вони здійснюють диверсії та знищують ворожу техніку.
Війна	ЗСУ отримали міжнародну допомогу Великобританія надіслала в Україну нову партію військової техніки. Це допоможе в обороні стратегічних об'єктів.
Війна Обстріл залізничної станції на сході України Російські ракети вразили важливий транспортний вузол. Є значні руйнування та постраждалі серед мирного населення.
Війна Призов резервістів у Росії Кремль оголосив часткову мобілізацію резервістів. Це свідчить про важкі втрати на фронті.
Війна Втрати інфраструктури в Маріуполі Маріуполь майже повністю зруйнований обстрілами. Місто потребує термінової гуманітарної допомоги.
Війна Атаки на енергетичну інфраструктуру Російські війська обстріляли енергетичні об'єкти на заході України. Деякі регіони залишились без електрики.
Війна Ворог застосовує заборонену зброю На сході України помічено використання касетних боєприпасів. Це порушення міжнародних конвенцій.
Війна Підтримка від Канади Канада виділила Україні черговий пакет військової допомоги. До нього входять боєприпаси та медичне обладнання.
Війна Німеччина розширює допомогу Україні Німеччина оголосила про збільшення військової та гуманітарної підтримки. Новий пакет включає сучасні системи протиповітряної оборони.
Війна Обстріл Одеської області Вночі ворог завдав ракетного удару по Одеській області. Постраждали житлові будинки та підприємства.
Війна Розмінування територій на Київщині Сапери продовжують розміновувати території поблизу Києва. Виявлено численні міни та нерозірвані боєприпаси.
Війна Масовані авіаудари по Донбасу Російська авіація здійснила серію ударів по населених пунктах Донбасу. Є значні втрати серед цивільного населення.
